Date, GM price
2011-09-26, 21.0800
2011-09-27, 21.1900
2011-09-28, 20.4100
2011-09-29, 20.7600
2011-09-30, 20.1800
2011-10-03, 19.7300
2011-10-04, 21.4200
2011-10-05, 22.2700
2011-10-06, 22.3500
2011-10-07, 22.0100
2011-10-10, 22.6200
2011-10-11, 22.5000
2011-10-12, 23.4100
2011-10-13, 23.1500
2011-10-14, 24.1600
2011-10-17, 23.1800
2011-10-18, 23.5400
2011-10-19, 23.0900
2011-10-20, 22.9600
2011-10-21, 24.3500
2011-10-24, 24.9800
2011-10-25, 24.8600
2011-10-26, 24.9900
2011-10-27, 26.0600
2011-10-28, 26.4500
2011-10-31, 25.8500
2011-11-01, 23.3300
2011-11-02, 23.2000
2011-11-03, 24.0300
2011-11-04, 23.6100
2011-11-07, 24.0100
2011-11-08, 25.0400
2011-11-09, 22.3100
2011-11-10, 22.7000
2011-11-11, 22.5100
2011-11-14, 22.9900
2011-11-15, 23.3500
2011-11-16, 22.6500
2011-11-17, 21.7900
2011-11-18, 21.6800
2011-11-21, 21.0500
2011-11-22, 20.7300
2011-11-23, 20.2400
2011-11-25, 20.3400
2011-11-28, 20.7400
2011-11-29, 20.3100
2011-11-30, 21.2900
2011-12-01, 20.9600
2011-12-02, 21.2800
2011-12-05, 21.5900
2011-12-06, 21.6800
2011-12-07, 21.9400
2011-12-08, 20.9800
2011-12-09, 21.1500
2011-12-12, 20.8000
2011-12-13, 20.1100
2011-12-14, 19.4700
2011-12-15, 20.1000
2011-12-16, 20.1500
2011-12-19, 19.0500
2011-12-20, 19.6900
2011-12-21, 20.3200
2011-12-22, 20.7000
2011-12-23, 20.5000
2011-12-27, 20.0900
2011-12-28, 19.8600
2011-12-29, 20.2100
2011-12-30, 20.2700
2012-01-03, 21.0500
2012-01-04, 21.1500
2012-01-05, 22.1700
2012-01-06, 22.9200
2012-01-09, 22.8400
2012-01-10, 23.2400
2012-01-11, 24.4700
2012-01-12, 24.6700
2012-01-13, 24.2900
2012-01-17, 24.2000
2012-01-18, 24.5100
2012-01-19, 24.8200
2012-01-20, 25.0000
2012-01-23, 24.9200
2012-01-24, 24.7900
2012-01-25, 24.9200
2012-01-26, 24.7200
2012-01-27, 24.3700
2012-01-30, 24.2300
2012-01-31, 24.0200
2012-02-01, 24.3700
2012-02-02, 24.3100
2012-02-03, 26.1800
2012-02-06, 26.7000
2012-02-07, 26.2200
2012-02-08, 25.7500
2012-02-09, 25.7400
2012-02-10, 25.5000
2012-02-13, 25.3400
2012-02-14, 25.4000
2012-02-15, 24.9300
2012-02-16, 27.1700
2012-02-17, 27.3400
2012-02-21, 27.0600
2012-02-22, 26.5500
2012-02-23, 26.7900
2012-02-24, 26.0700
2012-02-27, 26.4600
2012-02-28, 26.1400
2012-02-29, 26.0200
2012-03-01, 26.4700
2012-03-02, 26.4500
2012-03-05, 26.0000
2012-03-06, 24.5800
2012-03-07, 24.8800
2012-03-08, 25.4501
2012-03-09, 25.6200
2012-03-12, 25.3900
2012-03-13, 26.0700
2012-03-14, 26.3200
2012-03-15, 26.0500
2012-03-16, 25.5700
2012-03-19, 25.3900
2012-03-20, 25.0900
2012-03-21, 25.2900
2012-03-22, 25.0500
2012-03-23, 25.1700
2012-03-26, 25.5800
2012-03-27, 25.3500
2012-03-28, 25.1500
2012-03-29, 25.3100
2012-03-30, 25.6500
2012-04-02, 26.7600
2012-04-03, 25.5400
2012-04-04, 25.1000
2012-04-05, 24.8100
2012-04-09, 24.2000
2012-04-10, 23.7100
2012-04-11, 24.0300
2012-04-12, 24.3000
2012-04-13, 23.8000
2012-04-16, 23.4200
2012-04-17, 24.0400
2012-04-18, 24.1500
2012-04-19, 24.0100
2012-04-20, 23.6000
2012-04-23, 22.9500
2012-04-24, 22.8900
2012-04-25, 23.3100
2012-04-26, 23.7200
2012-04-27, 23.5300
2012-04-30, 23.0000
2012-05-01, 23.3100
2012-05-02, 22.9300
2012-05-03, 22.3700
2012-05-04, 22.3600
2012-05-07, 22.4100
2012-05-08, 22.2300
2012-05-09, 22.4400
2012-05-10, 22.3700
2012-05-11, 22.0000
2012-05-14, 21.6300
2012-05-15, 21.4200
2012-05-16, 21.9100
2012-05-17, 21.6100
2012-05-18, 21.1800
2012-05-21, 21.5400
2012-05-22, 21.5000
2012-05-23, 22.1300
2012-05-24, 22.0400
2012-05-25, 22.4400
2012-05-29, 22.8500
2012-05-30, 22.3700
2012-05-31, 22.2000
2012-06-01, 22.0100
2012-06-04, 21.1100
2012-06-05, 21.2500
2012-06-06, 21.8300
2012-06-07, 21.8500
2012-06-08, 22.0500
2012-06-11, 21.9200
2012-06-12, 22.1700
2012-06-13, 21.8700
2012-06-14, 21.8000
2012-06-15, 21.7400
2012-06-18, 21.4300
2012-06-19, 21.7400
2012-06-20, 21.4800
2012-06-21, 20.6400
2012-06-22, 20.6000
2012-06-25, 19.9100
2012-06-26, 19.8500
2012-06-27, 19.6600
2012-06-28, 19.8200
2012-06-29, 19.7200
2012-07-02, 19.5700
2012-07-03, 20.6700
2012-07-05, 20.5400
2012-07-06, 20.3100
2012-07-09, 20.2200
2012-07-10, 19.8000
2012-07-11, 19.9000
2012-07-12, 19.3300
2012-07-13, 19.6200
2012-07-16, 19.3800
2012-07-17, 19.6000
2012-07-18, 20.0700
2012-07-19, 20.1400
2012-07-20, 19.3600
2012-07-23, 19.3000
2012-07-24, 19.0200
2012-07-25, 18.8000
2012-07-26, 19.1100
2012-07-27, 19.6700
2012-07-30, 19.3600
2012-07-31, 19.7100
2012-08-01, 19.6600
2012-08-02, 19.1400
2012-08-03, 20.0400
2012-08-06, 19.8500
2012-08-07, 20.4200
2012-08-08, 20.3800
2012-08-09, 20.6500
2012-08-10, 20.5400
2012-08-13, 20.4700
2012-08-14, 20.2100
2012-08-15, 20.1400
2012-08-16, 21.3300
2012-08-17, 22.0100
2012-08-20, 21.8700
2012-08-21, 21.6300
2012-08-22, 21.7300
2012-08-23, 21.3400
2012-08-24, 21.1800
2012-08-27, 21.2200
2012-08-28, 20.9400
2012-08-29, 21.3000
2012-08-30, 21.1100
2012-08-31, 21.3500
2012-09-04, 21.3100
2012-09-05, 21.7600
2012-09-06, 22.4500
2012-09-07, 23.3700
2012-09-10, 22.9800
2012-09-11, 22.9700
2012-09-12, 23.1300
2012-09-13, 23.5300
2012-09-14, 24.1400
2012-09-17, 23.8000
2012-09-18, 24.4300
2012-09-19, 24.7500
2012-09-20, 24.4200
2012-09-21, 24.8000
2012-09-24, 24.3600
2012-09-25, 23.5200
2012-09-26, 23.3900
2012-09-27, 23.1800
2012-09-28, 22.7500
2012-10-01, 23.0900
2012-10-02, 23.6800
2012-10-03, 24.3900
2012-10-04, 24.6500
2012-10-05, 24.8000
2012-10-08, 24.5700
2012-10-09, 24.3700
2012-10-10, 24.2300
2012-10-11, 24.6600
2012-10-12, 24.4400
2012-10-15, 24.4800
2012-10-16, 24.7900
2012-10-17, 25.0600
2012-10-18, 25.5600
2012-10-19, 24.5900
2012-10-22, 24.6200
2012-10-23, 23.8700
2012-10-24, 23.6900
2012-10-25, 23.6300
2012-10-26, 23.2800
2012-10-31, 25.5000
2012-11-01, 25.6800
2012-11-02, 25.7900
2012-11-05, 25.5700
2012-11-06, 26.1900
2012-11-07, 25.0300
2012-11-08, 24.7200
2012-11-09, 25.0400
2012-11-12, 25.2600
2012-11-13, 24.8200
2012-11-14, 24.1700
2012-11-15, 23.8800
2012-11-16, 23.8500
2012-11-19, 24.9300
2012-11-20, 24.6000
2012-11-21, 24.6000
2012-11-23, 25.2100
2012-11-26, 25.2300
2012-11-27, 25.0100
2012-11-28, 25.2800
2012-11-29, 26.0900
2012-11-30, 25.8800
2012-12-03, 25.5100
2012-12-04, 25.4100
2012-12-05, 25.0000
2012-12-06, 24.5700
2012-12-07, 25.1900
2012-12-10, 25.2800
2012-12-11, 25.4500
2012-12-12, 25.6300
2012-12-13, 25.1200
2012-12-14, 24.6100
2012-12-17, 24.8500
2012-12-18, 25.4900
2012-12-19, 27.1800
2012-12-20, 27.3400
2012-12-21, 27.3200
2012-12-24, 27.6600
2012-12-26, 27.6200
2012-12-27, 27.9600
2012-12-28, 27.8500
2012-12-31, 28.8300
2013-01-02, 29.1300
2013-01-03, 29.8200
2013-01-04, 29.8600
2013-01-07, 29.6600
2013-01-08, 29.3700
2013-01-09, 29.9700
2013-01-10, 30.4400
2013-01-11, 30.3600
2013-01-14, 30.3300
2013-01-15, 30.6000
2013-01-16, 29.3100
2013-01-17, 29.4900
2013-01-18, 29.2800
